track,model,gran,TSS_mean,TSS_ci,HSS_mean,HSS_ci,CSI_mean,CSI_ci,MCC_mean,MCC_ci,SEDI_mean,SEDI_ci,precision_mean,precision_ci,FB_mean,FB_ci,n_folds
Proton SPE (multi),dlinear,per-window,0.495,0.099,0.616,0.072,0.456,0.086,0.64,0.061,0.809,0.035,0.846,0.042,0.59,0.122,5.0
Proton SPE (multi),frets,per-day,0.451,0.21,0.59,0.223,0.442,0.203,0.642,0.173,0.828,,0.969,0.086,0.472,0.234,5.0
Proton SPE (multi),frets,per-point,0.207,0.108,0.324,0.136,0.2,0.099,0.42,0.106,0.714,0.074,0.913,0.138,0.235,0.147,5.0
Proton SPE (multi),frets,per-window,0.403,0.122,0.545,0.107,0.387,0.107,0.6,0.08,0.806,0.08,0.931,0.125,0.444,0.186,5.0
Proton SPE (multi),itransformer,per-day,0.437,0.07,0.572,0.056,0.411,0.057,0.609,0.061,0.763,0.045,0.873,0.145,0.514,0.142,5.0
Proton SPE (multi),itransformer,per-point,0.519,0.173,0.557,0.18,0.404,0.186,0.56,0.18,0.799,0.095,0.614,0.198,0.863,0.169,5.0
Proton SPE (multi),itransformer,per-window,0.429,0.1,0.57,0.079,0.41,0.088,0.613,0.063,0.789,0.037,0.9,0.054,0.481,0.126,5.0
Proton SPE (multi),naive (persistence),per-day,0.489,0.118,0.646,0.103,0.489,0.118,0.692,0.081,,,1.0,0.0,0.489,0.118,5.0
Proton SPE (multi),naive (persistence),per-point,0.657,0.121,0.658,0.127,0.504,0.145,0.658,0.127,0.875,0.056,0.665,0.136,0.999,0.07,5.0
Proton SPE (multi),naive (persistence),per-window,0.49,0.084,0.648,0.068,0.49,0.084,0.692,0.055,0.874,0.025,0.997,0.001,0.492,0.084,5.0
Proton SPE (multi),patchmixer,per-day,0.504,0.097,0.632,0.042,0.472,0.049,0.666,0.03,0.829,0.003,0.912,0.16,0.577,0.235,5.0
Proton SPE (multi),patchmixer,per-point,0.513,0.183,0.57,0.177,0.417,0.194,0.576,0.175,0.802,0.095,0.66,0.182,0.789,0.2,5.0
Proton SPE (multi),patchmixer,per-window,0.485,0.073,0.628,0.045,0.467,0.056,0.664,0.031,0.829,0.016,0.93,0.065,0.527,0.114,5.0
Proton SPE (multi),patchtst,per-day,0.439,0.125,0.569,0.088,0.41,0.089,0.612,0.063,0.785,0.078,0.889,0.14,0.514,0.228,5.0
Proton SPE (multi),patchtst,per-point,0.532,0.175,0.572,0.169,0.419,0.182,0.577,0.168,0.81,0.09,0.637,0.184,0.855,0.213,5.0
Proton SPE (multi),patchtst,per-window,0.446,0.119,0.588,0.1,0.429,0.109,0.63,0.079,0.801,0.049,0.916,0.032,0.49,0.138,5.0
Proton SPE (multi),rlinear,per-day,0.497,0.104,0.636,0.083,0.478,0.093,0.672,0.071,0.805,0.039,0.936,0.122,0.542,0.168,5.0
Proton SPE (multi),rlinear,per-point,0.553,0.158,0.593,0.164,0.438,0.18,0.595,0.164,0.822,0.082,0.649,0.178,0.866,0.126,5.0
Proton SPE (multi),rlinear,per-window,0.492,0.093,0.634,0.069,0.475,0.084,0.669,0.055,0.829,0.028,0.93,0.037,0.532,0.11,5.0
Proton SPE (multi),segrnn,per-day,0.481,0.062,0.641,0.054,0.481,0.062,0.687,0.042,,,1.0,0.0,0.481,0.062,5.0
Proton SPE (multi),segrnn,per-point,0.606,0.133,0.66,0.158,0.509,0.184,0.663,0.161,0.858,0.069,0.733,0.196,0.839,0.078,5.0
Proton SPE (multi),segrnn,per-window,0.458,0.083,0.617,0.072,0.456,0.084,0.666,0.058,0.852,0.033,0.988,0.015,0.463,0.082,5.0
Proton SPE (multi),tide,per-day,0.507,0.099,0.645,0.077,0.487,0.087,0.68,0.064,0.819,0.0,0.937,0.121,0.552,0.166,5.0
Proton SPE (multi),tide,per-point,0.554,0.16,0.593,0.165,0.439,0.18,0.596,0.164,0.823,0.082,0.649,0.178,0.866,0.127,5.0
Proton SPE (multi),tide,per-window,0.496,0.095,0.638,0.07,0.479,0.085,0.672,0.055,0.831,0.028,0.932,0.035,0.535,0.113,5.0
Proton SPE (multi),tsmixer,per-day,0.174,0.311,0.216,0.381,0.157,0.283,0.562,0.308,0.734,0.261,0.756,0.248,0.23,0.396,5.0
Proton SPE (multi),tsmixer,per-point,0.179,0.336,0.177,0.316,0.121,0.219,0.449,0.296,0.708,0.368,0.475,0.097,0.379,0.685,5.0
Proton SPE (multi),tsmixer,per-window,0.168,0.291,0.212,0.364,0.151,0.26,0.557,0.122,0.735,0.143,0.77,0.025,0.222,0.385,5.0
Proton SPE (multi),xpatch,per-day,0.479,0.081,0.639,0.07,0.479,0.081,0.685,0.056,,,1.0,0.0,0.479,0.081,5.0
Proton SPE (multi),xpatch,per-point,0.497,0.185,0.567,0.19,0.416,0.21,0.574,0.189,0.793,0.102,0.674,0.197,0.741,0.105,5.0
Proton SPE (multi),xpatch,per-window,0.466,0.095,0.615,0.082,0.455,0.092,0.657,0.065,0.822,0.035,0.947,0.021,0.493,0.101,5.0
XRS M-class,dlinear,per-day,0.089,0.083,0.135,0.122,0.089,0.083,0.239,0.127,0.429,0.171,0.879,0.114,0.103,0.097,5.0
XRS M-class,dlinear,per-point,0.055,0.066,0.072,0.074,0.04,0.042,0.082,0.068,0.33,0.129,0.145,0.057,0.352,0.358,5.0
XRS M-class,dlinear,per-window,0.08,0.065,0.122,0.092,0.081,0.064,0.225,0.091,0.397,0.083,0.841,0.053,0.098,0.079,5.0
