track,seq_len,pred_len,fold,strategy,model,best_val_loss,skipped,est_train_hours,rmse,mae,tss_p_gt10,hss_p_gt10,pod_p_gt10,far_p_gt10,tss_xrs_long,hss_xrs_long,pod_xrs_long,far_xrs_long
uni_b,288,144,0,direct,frets,0.0722194910049438,False,,0.2802267074584961,0.1815077364444732,,,,,0.0018061824429298,0.0035233221204802,0.0019441145052254,0.8574151734654976
uni_b,288,144,0,direct,tsmixer,0.2248816639184951,False,,0.4967495799064636,0.3981844186782837,,,,,0.0,0.0,0.0,0.0
multi,288,144,0,direct,segrnn_thuml,0.0320791378617286,False,,0.1848730146884918,0.1074538901448249,0.7468391308819582,0.8182386319914322,0.747982527017473,0.0908976522940003,0.0246768571463596,0.0477086730224558,0.0247013238618017,0.1538831449867756
multi,288,144,0,direct,xpatch,0.0330742262303829,False,,0.189752772450447,0.1074022576212883,0.6626856829290557,0.7589021135599853,0.6638874861125139,0.1058702704908555,0.0218442123269825,0.0420562508103225,0.0219075964116746,0.3469345051265955
multi,288,144,0,direct,patchtst,0.0375266335904598,False,,0.2039672881364822,0.1162279471755027,0.6435097061076177,0.7092415719967965,0.646043328956671,0.2041487942119686,0.0182266161992134,0.0296606057694574,0.0193455096797742,0.9139395453409944
multi,288,144,0,direct,tide,0.0374936163425445,False,,0.2015293091535568,0.1166382133960723,0.6359641023156917,0.7129684174027182,0.6381426118573882,0.1825347793882191,0.0507990420781903,0.0834715881450796,0.0516769384116466,0.7572380135857021
multi,288,144,0,direct,rlinear,0.0373672693967819,False,,0.2014802098274231,0.1163829639554023,0.6310838981988555,0.7097536758692422,0.6332491667508332,0.1827738348941938,0.0474454234263433,0.07894953481619,0.048258482963878,0.7557118999395942
multi,288,144,0,direct,dlinear,0.0392802841961383,False,,0.2078756690025329,0.1274791061878204,0.6307296463208232,0.7055435396260773,0.633047166952833,0.1931931545377897,0.0590590538530788,0.1021682024909754,0.0595597422470553,0.60684829950885
multi,288,144,0,direct,itransformer,0.0395323410630226,False,,0.209738478064537,0.1212330088019371,0.6079958291641939,0.6839711012292102,0.6105014644985355,0.2116371580423228,0.0164437882030946,0.0257960784021528,0.0178222964720416,0.9342193896056792
multi,288,144,0,direct,patchmixer,0.0387377887964248,False,,0.2128814160823822,0.1185579299926757,0.4703706218745666,0.5761672896018312,0.4727300272699727,0.2461111625640757,0.0329701148716777,0.0618972923755873,0.033117603290702,0.4498600746268656
multi,288,144,0,direct,frets,0.039224799722433,False,,0.2080873996019363,0.1195140853524208,0.2420077517529703,0.3624129036491769,0.2432607817392182,0.2520108695652174,0.009984181822957,0.0195017755728602,0.0100307450407828,0.4601435587457499
multi,288,144,0,direct,tsmixer,0.6325474977493286,False,,0.8159665465354919,0.5242468118667603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uni_a,288,288,0,direct,segrnn_thuml,0.0552220307290554,False,,0.2575737535953522,0.1367132365703582,0.6251624118248538,0.7008665999302367,0.6281489521487305,0.1942932495829091,,,,
uni_a,288,288,0,direct,itransformer,0.0577376447618007,False,,0.263773500919342,0.1396694779396057,0.5629642516916316,0.634472311099265,0.5669684004415492,0.2637317369945233,,,,
uni_a,288,288,0,direct,dlinear,0.0877111628651619,False,,0.3149469196796417,0.173916295170784,0.5511102347888353,0.499022386990819,0.5639071116045523,0.5350976969483094,,,,
uni_a,288,288,0,direct,xpatch,0.0625018775463104,False,,0.2697480618953705,0.1494307518005371,0.5455887390064385,0.6142653289560073,0.5499644250974727,0.2875158232809769,,,,
uni_a,288,288,0,direct,patchmixer,0.0659412071108818,False,,0.2848089635372162,0.1514997631311416,0.5171583839147781,0.5820066849640194,0.522098798224376,0.3242962733359603,,,,
uni_a,288,288,0,direct,patchtst,0.0626812726259231,False,,0.2782619893550873,0.1431878209114074,0.5028230312717339,0.5664882048297528,0.5080026013948419,0.3408622634726085,,,,
uni_a,288,288,0,direct,tsmixer,0.0764143317937851,False,,0.2747614681720733,0.1465586125850677,0.4532344387108131,0.5131579902799775,0.4591996952724553,0.397181534561029,,,,
uni_a,288,288,0,direct,rlinear,0.1222104355692863,False,,0.3845588862895965,0.1853196620941162,0.3447803843642166,0.3743838969947108,0.3543298510058111,0.5775118348970157,,,,
uni_a,288,288,0,direct,tide,0.1320279240608215,False,,0.4009333848953247,0.1908376067876815,0.3354131955283065,0.3640945446845003,0.3451555390792056,0.5887491917195654,,,,
uni_a,288,288,0,direct,frets,0.0917674973607063,False,,0.3092703819274902,0.1801450103521347,0.2887549446550385,0.4349267510230615,0.2892491179526182,0.079742790035039,,,,
uni_b,288,288,0,direct,segrnn_thuml,0.0585213154554367,False,,0.2540595531463623,0.1544294655323028,,,,,0.026192171002351,0.0495350649813799,0.0264288972683861,0.4248633879781421
uni_b,288,288,0,direct,tide,0.0672246590256691,False,,0.2648153603076935,0.1566317230463028,,,,,0.0260279896649557,0.0479047204839081,0.0266200167682948,0.6471654154801968
uni_b,288,288,0,direct,rlinear,0.0673036575317382,False,,0.264929711818695,0.157033696770668,,,,,0.0245512053203027,0.0452205808331867,0.0251510471814058,0.6629526462395543
uni_b,288,288,0,direct,itransformer,0.0627665743231773,False,,0.2578236758708954,0.1502894461154937,,,,,0.0241082535736848,0.0441720565399404,0.0247827585100491,0.6917992401242171
uni_b,288,288,0,direct,patchtst,0.0640494301915168,False,,0.2597347199916839,0.1532245129346847,,,,,0.021087218338542,0.0386424116880509,0.0217959931866595,0.7284010708201509
uni_b,288,288,0,direct,patchmixer,0.0692659094929695,False,,0.2700916826725006,0.1577089130878448,,,,,0.0146019140675084,0.0277309128211336,0.0149240613870253,0.6403187304575867
uni_b,288,288,0,direct,xpatch,0.0637176036834716,False,,0.2592417895793915,0.1501974165439605,,,,,0.0137259049584796,0.0263248338744673,0.013933588066331,0.5514236953202192
uni_b,288,288,0,direct,dlinear,0.2601766288280487,False,,0.5096977949142456,0.3947180509567261,,,,,0.0127285209400507,0.0227965110427575,0.0138443059641839,0.8692283364958887
uni_b,288,288,0,direct,frets,0.1141594648361206,False,,0.3438073396682739,0.2178874611854553,,,,,0.0001696956604367,0.000331154580822,0.0003222525874371,0.975027027027027
uni_b,288,288,0,direct,tsmixer,0.9346428513526917,False,,1.0244930982589722,0.786354660987854,,,,,0.0,0.0,0.0,0.0
multi,288,288,0,direct,tsmixer,0.569902241230011,False,,0.7630706429481506,0.4619590044021606,0.6106850324944192,0.5521682051125039,0.6199896316391242,0.4898540663789366,0.0,0.0,0.0,0.0
multi,288,288,0,direct,segrnn_thuml,0.0425506941974163,False,,0.22114959359169,0.1247513070702552,0.5986801409658932,0.6770785137787975,0.6012356813646468,0.2138086659361477,0.0162820712356426,0.0312357167882572,0.0163910622159964,0.5638140697806568
multi,288,288,0,direct,tide,0.0497961118817329,False,,0.240225464105606,0.1353742927312851,0.5170989187798889,0.5745834710945316,0.5214021432680221,0.3455738558269795,0.0251558887327935,0.0390335751545359,0.0264870682291844,0.9071473485642424
multi,288,288,0,direct,rlinear,0.0496449284255504,False,,0.2400003373622894,0.1350691765546798,0.5137255939789457,0.5726129745505643,0.5179933670896864,0.3451864965508821,0.0232688614785831,0.0365864939671854,0.0245225323721343,0.9085756137948604
multi,288,288,0,direct,itransformer,0.0475014559924602,False,,0.2388021945953369,0.1344877332448959,0.4915717642224337,0.5497371921356939,0.4960877191736558,0.3680639610935914,0.0065999702410688,0.01195255647501,0.0070765998155044,0.9290424803014732
multi,288,288,0,direct,patchmixer,0.0450812652707099,False,,0.2281266003847122,0.1293656975030899,0.4578240958471145,0.5515939531891585,0.4608523360769247,0.2959848986189613,0.0151245424701048,0.0293032691513221,0.0151867163210222,0.4431569057312872
multi,288,288,0,direct,dlinear,0.0507911965250968,False,,0.244303748011589,0.1440730988979339,0.4315264733798488,0.5029186953632696,0.4358361798981628,0.387509755508494,0.0175790856251364,0.0336474070897626,0.0176936349038231,0.5572298813722347
multi,288,288,0,direct,xpatch,0.046612698584795,False,,0.2336250245571136,0.1286780834197998,0.4307322719804002,0.5275613674377462,0.4337539857825627,0.308306455996666,0.0039815492501389,0.0078286938520109,0.0040230277768287,0.6671378091872792
multi,288,288,0,direct,patchtst,0.0459209308028221,False,,0.235872745513916,0.127614140510559,0.4173589233047714,0.5054222220908516,0.4208773337688992,0.3484799514534289,0.0,0.0,0.0,0.0
multi,288,288,0,direct,frets,0.047049056738615,False,,0.2363266348838806,0.1425188034772873,0.3050244160409093,0.4302441422138833,0.3066194172413058,0.2497158804577887,0.0056559893872274,0.0109606264083572,0.0057654856674297,0.7868645405746764
uni_a,864,144,0,direct,xpatch,0.0317611619830131,False,,0.2042948752641677,0.1133181974291801,0.7839664573876556,0.8232933579771665,0.7866078311742978,0.1281524388645716,,,,
uni_a,864,144,0,direct,segrnn_thuml,0.0360749624669551,False,,0.2136979103088379,0.1195449605584144,0.7668589245870978,0.8282717513641742,0.7686765640198577,0.0938000070625537,,,,
uni_a,864,144,0,direct,itransformer,0.0356050357222557,False,,0.220843106508255,0.1177574172616005,0.7504149720376561,0.7952083485385959,0.753414334608733,0.1484033643394276,,,,
uni_a,864,144,0,direct,tsmixer,0.0688257962465286,False,,0.2892968356609344,0.2000519782304763,0.673512155934382,0.6870782217781063,0.6799014994222077,0.2914649313182525,,,,
uni_a,864,144,0,direct,patchtst,0.0450086444616317,False,,0.2484799772500991,0.1368708312511444,0.6683919529912995,0.7190079113093076,0.6725801696644075,0.214197039689381,,,,
uni_a,864,144,0,direct,tide,0.4029579758644104,False,,0.7045020461082458,0.2777251005172729,0.5271777881721447,0.4109512271392523,0.5506667864817101,0.6512274150145533,,,,
uni_a,864,144,0,direct,patchmixer,0.2300857603549957,False,,0.5439792275428772,0.2520712316036224,0.4649302370257167,0.4013044716076815,0.4841284480325897,0.6344843182764982,,,,
uni_a,864,144,0,direct,dlinear,0.2683511674404144,False,,0.5437873005867004,0.262197732925415,0.3968263446102994,0.373711068335516,0.4131254227027436,0.6332985359928577,,,,
uni_a,864,144,0,direct,rlinear,0.558229386806488,False,,0.8348375558853149,0.3297817409038543,0.3475482102937386,0.2785999748380729,0.373433536545953,0.7521240337333915,,,,
uni_a,864,144,0,direct,frets,0.243134543299675,False,,0.4848901033401489,0.2966656684875488,3.783632949767543e-05,7.397987643258226e-05,3.783632949767543e-05,0.0,,,,
uni_b,864,144,0,direct,dlinear,2.089354991912842,False,,1.3996649980545044,1.1274269819259644,,,,,0.173126082904035,0.0234463560306545,0.3509285837800449,0.9748206419568788
uni_b,864,144,0,direct,segrnn_thuml,0.0499561093747615,False,,0.2360736578702926,0.1390191614627838,,,,,0.0580708161651949,0.1052600100172239,0.0585025073491267,0.3605503893551069
uni_b,864,144,0,direct,tide,0.0631687343120575,False,,0.2528130710124969,0.1505498141050338,,,,,0.0345402291278935,0.0650380539047507,0.0347362960401175,0.3013355592654424
uni_b,864,144,0,direct,itransformer,0.0559444464743137,False,,0.2412579804658889,0.1419152617454528,,,,,0.0327983085829442,0.0587452544093524,0.0337298979768286,0.6785007911392406
uni_b,864,144,0,direct,rlinear,0.0624364726245403,False,,0.2511214315891266,0.1504775285720825,,,,,0.0309814932655435,0.058588984581581,0.0311637558360712,0.308866390550698
uni_b,864,144,0,direct,patchmixer,0.2563414275646209,False,,0.6291385889053345,0.2299026995897293,,,,,0.0243696891483128,0.0351846152961703,0.0289261628912329,0.9232920935095428
uni_b,864,144,0,direct,frets,0.1434473842382431,False,,0.3712466359138489,0.2695063352584839,,,,,0.0086047326137713,0.0151742792467802,0.0100778142832439,0.9178252164349568
uni_b,864,144,0,direct,xpatch,0.0648930296301841,False,,0.2564983069896698,0.1496378779411316,,,,,0.0082048722683615,0.0160255335735949,0.0082413971986858,0.2529780564263323
uni_b,864,144,0,direct,patchtst,0.0663297995924949,False,,0.2583169937133789,0.1535141468048095,,,,,0.0015026763300972,0.0029548822173357,0.001535535189348,0.6205128205128205
uni_b,864,144,0,direct,tsmixer,0.7618461847305298,False,,1.027259111404419,0.8366981148719788,,,,,0.0,0.0,0.0,0.0
multi,864,144,0,direct,xpatch,0.0347642786800861,False,,0.1844076365232467,0.1099874600768089,0.7456109350698137,0.7677670226771478,0.7489184349397018,0.2043571040746836,0.0267426706566729,0.0511690825087448,0.0268029931621726,0.3505275498241501
multi,864,144,0,direct,segrnn_thuml,0.0340306423604488,False,,0.1821193844079971,0.1068146899342536,0.7188842158324853,0.8160081158135872,0.7195418601334327,0.0504718337472225,0.0109463667715062,0.0215481797149226,0.0109501999741968,0.077445652173913
multi,864,144,0,direct,tide,0.0444367229938507,False,,0.2258951216936111,0.1344306021928787,0.6491448246762747,0.7597403360016561,0.6500681425605755,0.0763008123216185,0.0301819561585984,0.0508585818105877,0.0308186040510901,0.8320442960098435
multi,864,144,0,direct,rlinear,0.0440062135457992,False,,0.2224549353122711,0.1324023306369781,0.6411500169498418,0.7558983208365604,0.6419940414877264,0.0710285088599322,0.0234251481799446,0.040907624123097,0.023916268868533,0.8312087411791487
multi,864,144,0,direct,patchmixer,0.0441536717116832,False,,0.2121750116348266,0.1275152862071991,0.6262362423955157,0.6941324334701306,0.629189578942364,0.2144443510132611,0.0157878591905909,0.0301563940901818,0.015901174042059,0.6308498689629353
multi,864,144,0,direct,itransformer,0.0487431846559047,False,,0.22636379301548,0.1391942799091339,0.5240543911483254,0.6488839436770977,0.5254821482338399,0.1364544880433862,0.0028364506153171,0.0055041845684743,0.0029351051477228,0.8896300788356579
multi,864,144,0,direct,dlinear,0.1150672882795333,False,,0.3401315212249756,0.2290271967649459,0.5172683315286164,0.6346056552107159,0.5190680316308258,0.1678057394021773,0.0806786254581215,0.0547040060997029,0.0884563282157141,0.9547218094766386
multi,864,144,0,direct,patchtst,0.0518453605473041,False,,0.220462292432785,0.1254810839891433,0.4378846857993564,0.6048422206355341,0.4378912254567929,0.0008677966101694,9.40203436004032e-06,1.8695782432752852e-05,1.6126951361114695e-05,0.99009900990099
multi,864,144,0,direct,frets,0.0828774943947792,False,,0.301889032125473,0.2258473634719848,0.1930287256307392,0.286408566034005,0.1954542573253252,0.4191850814094489,0.0001859559629304,0.0003586046675904,0.0003225390272222,0.9902486591906388
multi,864,144,0,direct,tsmixer,0.2774587869644165,False,,0.4975793957710266,0.3345629870891571,0.1052511719569179,0.1877900722792442,0.105256485428585,0.0029272686331907,0.0,0.0,0.0,0.0
uni_a,864,288,0,direct,segrnn_thuml,0.0545511245727539,False,,0.2787479162216186,0.1455771923065185,0.6073575287892782,0.7057486379639082,0.6098427969822162,0.1463354441998179,,,,
uni_a,864,288,0,direct,tide,1.8747777938842771,False,,1.5562779903411863,0.5799320936203003,0.5616582063605067,0.3269905892707577,0.6059789429071919,0.7546912832397743,,,,
uni_a,864,288,0,direct,itransformer,0.057383868843317,False,,0.2909998297691345,0.1420033574104309,0.5550434602786842,0.6736274655619908,0.557001183734121,0.1288010714858172,,,,
uni_a,864,288,0,direct,rlinear,1.603526592254639,False,,1.4461634159088137,0.5424576997756958,0.5114068043728038,0.3024083296771941,0.5556315955398496,0.7700093322481659,,,,
uni_a,864,288,0,direct,xpatch,0.0610582344233989,False,,0.295024424791336,0.1485389620065689,0.4718904911122322,0.57300883426835,0.4757586363521882,0.25484216296655,,,,
uni_a,864,288,0,direct,dlinear,0.1751903593540191,False,,0.4261312186717987,0.2184538841247558,0.4171619895252883,0.4409777824508612,0.4281270164949832,0.5186100947130047,,,,
uni_a,864,288,0,direct,patchtst,0.0815716385841369,False,,0.327862411737442,0.1654074192047119,0.4110333241079371,0.5186055515178601,0.4148419241628533,0.2785929068416974,,,,
uni_a,864,288,0,direct,patchmixer,0.5153392553329468,False,,0.8251071572303772,0.3559920191764831,0.4024535671891694,0.3172254770250488,0.4291110009110323,0.7232291648578296,,,,
uni_a,864,288,0,direct,tsmixer,0.1246495470404625,False,,0.3698859512805938,0.2319018989801406,0.0334537155323544,0.0615569589009947,0.0341789114683253,0.4715960203547308,,,,
uni_a,864,288,0,direct,frets,0.4627346098423004,False,,0.6752761602401733,0.4758369624614715,0.0029015815834245,0.0056527651404205,0.0029015815834245,0.0,,,,
uni_b,864,288,0,direct,dlinear,1.3550143241882324,False,,1.1442298889160156,0.8677253127098083,,,,,0.1651425310808392,0.0336594367600712,0.2794233881591328,0.9686650306976335
uni_b,864,288,0,direct,segrnn_thuml,0.0639069676399231,False,,0.2591395676136017,0.1559039503335952,,,,,0.031412379686819,0.058817397991245,0.0317287063871429,0.4297311009639776
uni_b,864,288,0,direct,tide,0.0873995423316955,False,,0.2873530089855194,0.1728232502937317,,,,,0.0168179368205929,0.0324498216991369,0.0169069216003613,0.284599458512502
uni_b,864,288,0,direct,rlinear,0.0850398391485214,False,,0.2820959389209747,0.1710675358772277,,,,,0.0159281690418844,0.030747246970853,0.0160224321577778,0.3078048780487805
